"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20133";"DIAMANTE";"20133";"DIAMANTE";42;13;"Vereador";5601;15;2;0;17;4671;0;930;"N";4671;4397;2691;2574;117;117;0;0;0;0;1706;0;0;51;223;223;0;0;"14:30:00";"25/08/2022"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21539";"QUIXABA";"21539";"QUIXABA";28;13;"Vereador";2153;6;1;0;7;2036;0;117;"N";2036;1954;1954;1859;95;95;0;0;0;0;0;0;0;15;67;67;0;0;"21:59:29";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19801";"CATURITÉ";"19801";"CATURITÉ";59;13;"Vereador";4688;15;3;0;18;4292;0;396;"N";4292;4131;4124;3930;194;194;0;0;0;0;7;0;0;54;107;107;0;0;"21:59:32";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20630";"LAGOA";"20630";"LAGOA";31;11;"Prefeito";4742;14;4;0;18;4095;0;647;"N";4095;3783;3783;3783;0;0;0;0;0;0;0;0;0;104;208;208;0;0;"19:24:54";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19712";"CACIMBA DE DENTRO";"19712";"CACIMBA DE DENTRO";20;11;"Prefeito";13510;40;0;0;40;11535;0;1975;"N";11535;10928;10928;10928;0;0;0;0;0;0;0;0;0;141;466;466;0;0;"21:59:31";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19143";"MATINHAS";"19143";"MATINHAS";13;11;"Prefeito";4457;14;1;0;15;3857;0;600;"N";3857;3679;3679;3679;0;0;0;0;0;0;0;0;0;48;130;116;14;0;"19:10:17";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19771";"CALDAS BRANDÃO";"19771";"CALDAS BRANDÃO";75;11;"Prefeito";5114;14;8;0;22;4437;0;677;"N";4437;4227;4227;4227;0;0;0;0;0;0;0;0;0;80;130;130;0;0;"21:47:11";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19470";"BOM SUCESSO";"19470";"BOM SUCESSO";36;11;"Prefeito";4323;14;1;0;15;3784;0;539;"N";3784;3619;3619;3619;0;0;0;0;0;0;0;0;0;68;97;97;0;0;"21:42:28";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19542";"SÃO JOSÉ DO BREJO DO CRUZ";"19542";"SÃO JOSÉ DO BREJO DO CRUZ";38;11;"Prefeito";2032;6;0;0;6;1885;0;147;"N";1885;1827;1827;1827;0;0;0;0;0;0;0;0;0;25;33;33;0;0;"19:24:43";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20290";"GURINHÉM";"20290";"GURINHÉM";75;11;"Prefeito";11141;40;1;0;41;9576;0;1565;"N";9576;9072;9072;9072;0;0;0;0;0;0;0;0;0;125;379;379;0;0;"21:39:58";"15/11/2020"
